AÑO;CÓDIGO_MUNICIPIO;MUNICIPIO;CÓDIGO_DEPARTAMENTO;DEPARTAMENTO;CÓDIGO_ETC;ETC;POBLACIÓN_5_16;TASA_MATRICULACIÓN_5_16;COBERTURA_NETA;COBERTURA_NETA_TRANSICIÓN;COBERTURA_NETA_PRIMARIA;COBERTURA_NETA_SECUNDARIA;COBERTURA_NETA_MEDIA;COBERTURA_BRUTA;COBERTURA_BRUTA_TRANSICIÓN;COBERTURA_BRUTA_PRIMARIA;COBERTURA_BRUTA_SECUNDARIA;COBERTURA_BRUTA_MEDIA;DESERCIÓN;DESERCIÓN_TRANSICIÓN;DESERCIÓN_PRIMARIA;DESERCIÓN_SECUNDARIA;DESERCIÓN_MEDIA;APROBACIÓN;APROBACIÓN_TRANSICIÓN;APROBACIÓN_PRIMARIA;APROBACIÓN_SECUNDARIA;APROBACIÓN_MEDIA;REPROBACIÓN;REPROBACIÓN_TRANSICIÓN;REPROBACIÓN_PRIMARIA;REPROBACIÓN_SECUNDARIA;REPROBACIÓN_MEDIA;REPITENCIA;REPITENCIA_TRANSICIÓN;REPITENCIA_PRIMARIA;REPITENCIA_SECUNDARIA;REPITENCIA_MEDIA
2024;68207;Concepción;68;Santander;3808;Santander (ETC);1114;80.07%;80.07%;68.97%;84.98%;61.68%;35%;85.46%;97.7%;98.93%;80.05%;56.11%;2.42%;1.18%;1.74%;4.01%;2.25%;88.34%;0%;89.8%;81.39%;92.13%;9.24%;0%;8.46%;14.6%;5.62%;7.81%;1.18%;7.38%;12.41%;2.25%
2024;68190;Cimitarra;68;Santander;3808;Santander (ETC);7262;82.31%;82.29%;46.57%;78.68%;69.9%;46.31%;92.14%;84.71%;95.65%;94.26%;82.52%;4.13%;5.9%;3.77%;4.22%;4.14%;91.62%;0%;92.72%;89.91%;90.99%;4.25%;0%;3.51%;5.88%;4.87%;7.69%;3.28%;7.83%;10.38%;2.8%
2024;68179;Chipatá;68;Santander;3808;Santander (ETC);838;57.76%;57.76%;29.63%;57.67%;49.67%;37.5%;60.98%;44.44%;66.87%;60.78%;54.61%;0.4%;0%;0%;1.12%;0%;98.6%;0%;99.54%;96.63%;100%;1%;0%;0.46%;2.25%;0%;3.19%;0%;2.29%;3.93%;4.94%
2024;68176;Chima;68;Santander;3808;Santander (ETC);548;75.18%;75.18%;48.84%;77.29%;70.05%;43.82%;79.74%;58.14%;86.46%;84.49%;62.92%;1.18%;0%;1.01%;1.34%;1.89%;96.24%;0%;94.44%;97.32%;98.11%;2.59%;0%;4.55%;1.34%;0%;4.71%;0%;6.57%;4.03%;1.89%
2024;68169;Charta;68;Santander;3808;Santander (ETC);460;91.96%;91.96%;56.82%;91.79%;90.41%;46.67%;99.57%;84.09%;104.1%;113.7%;69.33%;3.79%;5.41%;1.48%;6.88%;2.04%;92.43%;0%;94.58%;87.5%;97.96%;3.79%;0%;3.94%;5.63%;0%;8.02%;2.7%;8.37%;10.63%;2.04%
2024;68167;Charalá;68;Santander;3808;Santander (ETC);2265;95.01%;94.97%;57.46%;90.2%;84.88%;64.13%;103.66%;80.66%;100.11%;107.69%;115.76%;2.41%;8.9%;1.68%;2.19%;2.17%;93.7%;0%;96.84%;89.66%;95.65%;3.89%;0%;1.47%;8.15%;2.17%;6.78%;4.79%;5.89%;9.73%;3.26%
2024;68162;Cerrito;68;Santander;3808;Santander (ETC);1332;96.1%;96.1%;64.29%;85.56%;88.74%;55.81%;109.31%;83.93%;106.42%;120.95%;106.05%;3.19%;1.06%;3.52%;3.51%;2.34%;90.19%;0%;87.1%;89.67%;97.66%;6.61%;0%;9.38%;6.82%;0%;7.5%;1.06%;6.7%;9.69%;7.6%
2024;68160;Cepitá;68;Santander;3808;Santander (ETC);392;74.49%;74.49%;38.71%;71.07%;72.39%;45.59%;78.06%;51.61%;77.99%;91.04%;64.71%;5.59%;0%;1.61%;11.48%;2.38%;93.42%;0%;97.58%;87.7%;95.24%;0.99%;0%;0.81%;0.82%;2.38%;3.95%;0%;0.81%;8.2%;2.38%
2024;68152;Carcasí;68;Santander;3808;Santander (ETC);899;75.53%;75.53%;70.15%;75.2%;70.7%;44.22%;83.43%;83.58%;83.02%;85.35%;80.27%;2.25%;5.36%;1.3%;2.39%;3.16%;93.52%;0%;95.45%;89.64%;96.84%;4.23%;0%;3.25%;7.97%;0%;4.93%;1.79%;1.95%;10.76%;1.05%
2024;68147;Capitanejo;68;Santander;3808;Santander (ETC);987;87.74%;87.74%;69.44%;82.38%;80.58%;52.69%;99.59%;88.89%;93.55%;113.04%;91.02%;1.23%;6.25%;0.27%;1.75%;0%;95.17%;0%;97.61%;91.23%;100%;3.59%;0%;2.12%;7.02%;0%;10.77%;0%;5.84%;21.35%;0.93%
2024;68132;California;68;Santander;3808;Santander (ETC);411;94.89%;94.89%;37.78%;76.56%;115.7%;64.15%;101.22%;51.11%;86.46%;144.63%;98.11%;1.46%;4.35%;0%;2.94%;0%;90.73%;0%;98.19%;81.76%;94.12%;7.8%;0%;1.81%;15.29%;5.88%;3.66%;0%;1.81%;7.06%;0%
2024;68121;Cabrera;68;Santander;3808;Santander (ETC);351;65.24%;65.24%;57.69%;51.37%;68.29%;44.64%;67.81%;69.23%;52.74%;85.37%;67.86%;0.42%;5.56%;0%;0%;0%;91.18%;0%;96.1%;85.71%;94.74%;8.4%;0%;3.9%;14.29%;5.26%;5.88%;0%;1.3%;11.43%;2.63%
2024;68101;Bolívar;68;Santander;3808;Santander (ETC);2265;72.41%;72.41%;46.91%;71.86%;59.5%;51.92%;77.79%;70.99%;81.79%;74.84%;77.24%;2.4%;1.74%;1.6%;3.06%;3.34%;94.29%;0.87%;96.4%;91.33%;93.65%;3.31%;0.87%;2%;5.61%;3.01%;7.48%;4.35%;6.93%;10.2%;4.68%
2024;68092;Betulia;68;Santander;3808;Santander (ETC);1259;79.59%;79.59%;47.17%;81.09%;71.12%;32%;88.48%;77.36%;94.94%;91.65%;70.5%;3.53%;4.88%;3.94%;2.82%;2.88%;90.35%;0%;94.28%;83.33%;91.35%;6.11%;0%;1.78%;13.84%;5.77%;6.21%;2.44%;5.92%;8.76%;1.92%
2024;68081;Barrancabermeja;68;Santander;3810;Barrancabermeja;40899;113.53%;113.42%;72.2%;107.88%;103.68%;64.84%;124.11%;88.64%;123.7%;133.83%;124.21%;3.48%;3.41%;2.87%;4.56%;2.39%;87.03%;0.19%;91.86%;79.35%;88.87%;9.5%;0.19%;5.27%;16.09%;8.74%;9.31%;2.68%;7.82%;13.5%;4.82%
2024;68079;Barichara;68;Santander;3808;Santander (ETC);1811;76.2%;76.2%;44.74%;65.31%;70.05%;68.37%;81.56%;64.47%;73.69%;88.19%;97.28%;1.67%;4.17%;0.44%;1.9%;2.8%;92.19%;1.39%;97.82%;86.5%;92%;6.14%;1.39%;1.75%;11.6%;5.2%;9.25%;0%;3.93%;15.4%;10%
