AÑO;CÓDIGO_MUNICIPIO;MUNICIPIO;CÓDIGO_DEPARTAMENTO;DEPARTAMENTO;CÓDIGO_ETC;ETC;POBLACIÓN_5_16;TASA_MATRICULACIÓN_5_16;COBERTURA_NETA;COBERTURA_NETA_TRANSICIÓN;COBERTURA_NETA_PRIMARIA;COBERTURA_NETA_SECUNDARIA;COBERTURA_NETA_MEDIA;COBERTURA_BRUTA;COBERTURA_BRUTA_TRANSICIÓN;COBERTURA_BRUTA_PRIMARIA;COBERTURA_BRUTA_SECUNDARIA;COBERTURA_BRUTA_MEDIA;DESERCIÓN;DESERCIÓN_TRANSICIÓN;DESERCIÓN_PRIMARIA;DESERCIÓN_SECUNDARIA;DESERCIÓN_MEDIA;APROBACIÓN;APROBACIÓN_TRANSICIÓN;APROBACIÓN_PRIMARIA;APROBACIÓN_SECUNDARIA;APROBACIÓN_MEDIA;REPROBACIÓN;REPROBACIÓN_TRANSICIÓN;REPROBACIÓN_PRIMARIA;REPROBACIÓN_SECUNDARIA;REPROBACIÓN_MEDIA;REPITENCIA;REPITENCIA_TRANSICIÓN;REPITENCIA_PRIMARIA;REPITENCIA_SECUNDARIA;REPITENCIA_MEDIA
2024;5004;Abriaquí;5;Antioquia;3758;Antioquia (ETC);499;56.11%;56.11%;39.53%;59.13%;51.52%;26.51%;61.92%;58.14%;67.79%;60.61%;51.81%;0%;0%;0%;0%;0%;99.68%;0%;100%;100%;97.67%;0.32%;0%;0%;0%;2.33%;8.41%;0%;8.51%;13%;2.33%
2024;15204;Cómbita;15;Boyacá;3769;Boyacá (ETC);1862;95.33%;95.33%;53.64%;89.15%;98.88%;62.1%;191.51%;63.58%;148.84%;258.59%;225.16%;3.24%;0%;1.71%;4.97%;3.68%;94.14%;0%;96.58%;90.63%;95.26%;2.62%;0%;1.71%;4.4%;1.05%;7.94%;1.69%;4.94%;14.53%;0%
2024;99773;Cumaribo;99;Vichada;3832;Vichada (ETC);25239;50.7%;50.7%;40.14%;57.71%;16.95%;3.85%;57.74%;61.32%;88.33%;38.03%;17.94%;5.5%;3.79%;5.08%;7.3%;6.15%;79.28%;0%;74.54%;84.61%;88.16%;15.22%;0%;20.39%;8.09%;5.7%;20.14%;0.63%;26.99%;11.05%;4.34%
2024;99624;Santa Rosalía;99;Vichada;3832;Vichada (ETC);1157;81.42%;81.42%;70.67%;82.64%;54.9%;22.45%;90.58%;117.33%;108.79%;85.29%;46.94%;6.3%;4.55%;6.15%;7.76%;3.26%;86.07%;0%;86.73%;81.32%;91.3%;7.63%;0%;7.12%;10.92%;5.43%;13.17%;0%;15%;16.67%;2.17%
2024;99524;La Primavera;99;Vichada;3832;Vichada (ETC);2645;90.96%;90.96%;64.13%;96.46%;59.01%;31.33%;99.13%;83.15%;128.68%;89.36%;59.01%;5.16%;2.72%;5.65%;5.42%;3.27%;86.01%;0%;83.36%;85.73%;93.82%;8.83%;0%;11%;8.84%;2.91%;13.15%;0.68%;17.38%;11.67%;3.64%
2024;99001;Puerto Carreño;99;Vichada;3832;Vichada (ETC);4600;148.35%;148.17%;114.02%;169.11%;81.25%;29.1%;158.74%;140.43%;235.6%;121.4%;61.04%;8.45%;5.06%;9.1%;8.87%;4.13%;81.47%;0%;80.04%;78.2%;94.04%;10.08%;0%;10.86%;12.92%;1.83%;12.72%;1.9%;13.86%;14.92%;4.36%
2024;97889;Yavaraté;97;Vaupés;3831;Vaupés (ETC);562;46.26%;46.26%;48.48%;51.56%;24.29%;15.96%;50.89%;90.91%;69.78%;35.71%;25.53%;8.39%;0%;1.91%;25.33%;8.33%;82.87%;0%;82.8%;73.33%;91.67%;8.74%;0%;15.29%;1.33%;0%;7.69%;0%;8.92%;8%;8.33%
2024;97777;Papunaua;97;Vaupés;3831;Vaupés (ETC);208;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2024;97666;Taraira;97;Vaupés;3831;Vaupés (ETC);802;19.95%;19.95%;14.29%;29.83%;0%;0%;20.82%;30.16%;50.17%;0%;0%;0%;0%;0%;0%;0%;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;34.73%;0%;39.19%;0%;0%
2024;97511;Pacoa;97;Vaupés;3831;Vaupés (ETC);1666;54.8%;54.8%;14.29%;54.88%;25.09%;5.25%;72.87%;38.1%;98.78%;69.53%;40%;7.83%;0%;4.32%;10.31%;22.13%;89.95%;0%;92.75%;88.92%;73.77%;2.22%;0%;2.93%;0.77%;4.1%;18.29%;23.21%;25.77%;10.31%;1.64%
2024;97161;Caruru;97;Vaupés;3831;Vaupés (ETC);1224;47.47%;47.47%;51.28%;48.99%;34.82%;12.75%;50.82%;66.67%;61.54%;49.78%;21.08%;3.54%;1.92%;1.64%;6.28%;4.65%;94.21%;0%;96.38%;90.58%;93.02%;2.25%;0%;1.97%;3.14%;2.33%;13.18%;1.92%;10.53%;19.73%;11.63%
2024;97001;Mitú;97;Vaupés;3831;Vaupés (ETC);10882;57.78%;57.78%;39.74%;54.15%;43.31%;17.26%;68.43%;59.07%;74.6%;70.81%;53.07%;5.06%;4.76%;4.09%;6.6%;4.55%;86.12%;0%;89.38%;79.87%;86.07%;8.81%;0%;6.53%;13.54%;9.38%;15.75%;6.21%;18.32%;15.76%;10.61%
2024;95200;Miraflores;95;Guaviare;3830;Guaviare (ETC);2049;27.87%;27.87%;14.37%;24.86%;20.97%;10.25%;34.5%;34.13%;34.68%;38.12%;25.44%;5.74%;5.26%;3.24%;9.44%;4.76%;81.87%;15.79%;81.55%;79.83%;93.65%;12.39%;15.79%;15.21%;10.73%;1.59%;14.5%;10.53%;16.18%;16.31%;3.17%
2024;95025;El Retorno;95;Guaviare;3830;Guaviare (ETC);4492;50.71%;50.71%;30.12%;48%;43.65%;18.64%;58.46%;50.88%;61.41%;65.21%;41.33%;5.32%;5.17%;4.75%;6.25%;4.82%;87.55%;3.45%;87.87%;85.19%;91.57%;7.13%;3.45%;7.38%;8.56%;3.61%;9.6%;3.45%;10.72%;11.46%;2.4%
2024;95015;Calamar;95;Guaviare;3830;Guaviare (ETC);2506;78.69%;78.69%;46.05%;77.62%;59.53%;30.35%;94.37%;89.47%;100.66%;97.15%;74.88%;2.67%;5.39%;1.81%;3.59%;1.49%;87.26%;9.31%;89.63%;81.88%;94.03%;10.07%;9.31%;8.56%;14.53%;4.48%;9.69%;4.41%;11.32%;10.78%;2.99%
2024;95001;San José del Guaviare;95;Guaviare;3830;Guaviare (ETC);14142;87.51%;87.43%;59.33%;81.12%;69.38%;39.21%;103.85%;95.38%;112.06%;104.71%;85.69%;5.02%;7.52%;4.18%;6.48%;2.42%;87.33%;2.27%;90.25%;80.62%;91.8%;7.65%;2.27%;5.56%;12.9%;5.78%;11.51%;7%;10.83%;16.31%;3.19%
2024;94888;Morichal;94;Guainía;3829;Guainía (ETC);347;45.82%;45.82%;16.13%;43.94%;22.58%;0%;54.76%;32.26%;79.55%;51.61%;18.33%;10%;30%;11.43%;6.25%;0%;84.21%;0%;79.05%;92.19%;100%;5.79%;0%;9.52%;1.56%;0%;16.32%;0%;27.62%;3.13%;0%
2024;94887;Pana Pana;94;Guainía;3829;Guainía (ETC);727;35.9%;35.9%;21.92%;42.39%;9.16%;0.86%;43.47%;38.36%;75%;25.95%;11.21%;0.32%;0%;0%;1.47%;0%;93.67%;0%;93.24%;91.18%;100%;6.01%;0%;6.76%;7.35%;0%;7.59%;0%;5.8%;17.65%;0%
2024;94886;Cacahual;94;Guainía;3829;Guainía (ETC);384;83.85%;83.85%;95.65%;68.31%;16.94%;0%;89.58%;165.22%;135.52%;46.77%;0%;2.03%;0%;1.61%;5.17%;0%;93.31%;0%;93.55%;87.93%;0%;4.65%;0%;4.84%;6.9%;0%;18.9%;5.26%;23.79%;6.9%;0%
2024;94885;La Guadalupe;94;Guainía;3829;Guainía (ETC);115;78.26%;78.26%;90%;90.38%;0%;0%;80%;170%;144.23%;0%;0%;1.09%;5.88%;0%;0%;0%;94.57%;0%;94.67%;0%;0%;4.35%;0%;5.33%;0%;0%;8.7%;0%;10.67%;0%;0%
2024;94884;Puerto Colombia;94;Guainía;3829;Guainía (ETC);755;83.97%;83.97%;39.71%;91.23%;11.16%;1.79%;89.14%;67.65%;162.87%;26.18%;8.04%;2.83%;8.7%;1.98%;4.92%;11.11%;71.88%;0%;68.17%;88.52%;88.89%;25.3%;0%;29.86%;6.56%;0%;26.6%;8.7%;31.06%;3.28%;0%
2024;94883;San Felipe;94;Guainía;3829;Guainía (ETC);674;61.13%;61.13%;28.99%;66.55%;11.49%;4.21%;67.95%;62.32%;118.55%;27.66%;25.26%;5.46%;0%;4.29%;16.92%;0%;82.75%;4.65%;80.06%;81.54%;100%;11.79%;4.65%;15.64%;1.54%;0%;10.7%;0%;12.27%;12.31%;4.17%
2024;94343;Barranco Minas;94;Guainía;3829;Guainía (ETC);4070;65.87%;65.87%;59.59%;66.74%;40.61%;8.87%;77.03%;66.28%;93.2%;73.82%;46.33%;4.4%;1.32%;2.35%;7.81%;6.6%;79%;0%;82.56%;67.75%;81.85%;16.59%;0%;15.09%;24.44%;11.55%;13.05%;0.44%;14.72%;14.08%;10.23%
2024;94001;Inírida;94;Guainía;3829;Guainía (ETC);9666;77.41%;77.41%;66.85%;75.98%;43.84%;14.85%;88.7%;107.2%;109.35%;80.09%;47.5%;5.19%;6.03%;4.88%;6.18%;2.4%;80.12%;2.01%;79.29%;76.46%;85.42%;14.69%;2.01%;15.83%;17.36%;12.18%;14.9%;6.84%;16.71%;17.09%;3.6%
2024;91798;Tarapacá;91;Amazonas;3828;Amazonas (ETC);1332;52.55%;52.55%;43.64%;60.96%;25.11%;2.62%;58.11%;81.82%;90.06%;39.11%;8.3%;2.2%;4.44%;2.04%;1.7%;0%;97.8%;0%;97.96%;98.3%;100%;0%;0%;0%;0%;0%;17.44%;2.22%;18%;21.59%;36.84%
2024;91669;Puerto Santander;91;Amazonas;3828;Amazonas (ETC);616;60.06%;60.06%;51.06%;75.19%;21.5%;8.25%;64.94%;102.13%;101.55%;32.71%;20.62%;0.75%;0%;0.76%;1.43%;0%;99.25%;0%;99.24%;98.57%;100%;0%;0%;0%;0%;0%;12.5%;10.42%;13.74%;12.86%;0%
2024;91540;Puerto Nariño;91;Amazonas;3828;Amazonas (ETC);3229;54.35%;54.35%;46.9%;52.26%;39.39%;15.07%;61.23%;76.36%;74.4%;57.1%;29.57%;3.62%;2.03%;1.61%;6.72%;5.71%;87.82%;4.57%;88%;85.08%;90.71%;8.56%;4.57%;10.4%;8.2%;3.57%;16.54%;5.08%;18.01%;19.51%;10%
2024;91536;Puerto Arica;91;Amazonas;3828;Amazonas (ETC);272;83.46%;83.46%;69.23%;82.93%;49.41%;23.68%;93.01%;103.85%;115.45%;71.76%;60.53%;0%;0%;0%;0%;0%;100%;0%;100%;100%;100%;0%;0%;0%;0%;0%;11.46%;3.7%;16.9%;4.92%;4.35%
2024;91530;Puerto Alegría;91;Amazonas;3828;Amazonas (ETC);212;72.17%;72.17%;86.36%;75.76%;35.94%;0%;81.13%;159.09%;103.03%;54.69%;0%;5.23%;11.43%;4.9%;0%;0%;87.21%;0%;82.35%;100%;0%;7.56%;0%;12.75%;0%;0%;16.86%;0%;24.51%;11.43%;0%
2024;91460;Miriti - Paraná;91;Amazonas;3828;Amazonas (ETC);573;46.07%;46.07%;17.78%;56.44%;25.65%;11.61%;53.4%;55.56%;77.33%;38.74%;29.46%;3.27%;0%;1.15%;8.11%;6.06%;96.73%;0%;98.85%;91.89%;93.94%;0%;0%;0%;0%;0%;13.73%;0%;16.09%;12.16%;15.15%
2024;91430;La Victoria;91;Amazonas;3828;Amazonas (ETC);167;13.17%;13.17%;13.33%;18.31%;0%;0%;13.17%;20%;26.76%;0%;0%;0%;0%;0%;0%;0%;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;27.27%;66.67%;21.05%;0%;0%
2024;91407;La Pedrera;91;Amazonas;3828;Amazonas (ETC);1205;67.05%;67.05%;29.29%;75.9%;34.95%;18.37%;79.5%;79.8%;106.83%;59.47%;52.04%;1.79%;1.27%;0.38%;4.69%;4.29%;97.99%;0%;99.62%;95.31%;92.86%;0.22%;0%;0%;0%;2.86%;13.87%;5.06%;14.47%;17.84%;7.14%
2024;91405;La Chorrera;91;Amazonas;3828;Amazonas (ETC);1193;50.38%;50.38%;60%;44.95%;33.25%;9.79%;58.59%;98.75%;62.67%;54.06%;40.21%;14.81%;34.18%;5.17%;23.86%;12%;78.63%;0%;85.71%;69.54%;88%;6.56%;0%;9.12%;6.6%;0%;8.85%;5.06%;12.16%;5.58%;6%
2024;91263;El Encanto;91;Amazonas;3828;Amazonas (ETC);658;51.37%;51.37%;51.85%;60.9%;38.67%;10.62%;54.41%;72.22%;72.18%;46.22%;20.35%;3.09%;0%;0.52%;6.8%;13.64%;95.22%;0%;99.48%;87.38%;86.36%;1.69%;0%;0%;5.83%;0%;6.16%;2.56%;3.65%;11.54%;9.09%
2024;91001;Leticia;91;Amazonas;3828;Amazonas (ETC);13760;88.18%;88.17%;52.43%;89.41%;68.97%;36.45%;103.51%;80.19%;118.76%;102.4%;79.23%;5.61%;7.34%;3.62%;7.84%;6.3%;89.7%;0.24%;90.71%;87.55%;90.33%;4.69%;0.24%;5.67%;4.61%;3.37%;12.23%;6.14%;11.85%;15.77%;6.73%
2024;88564;Providencia;88;Archipiélago de San Andrés, Providencia y Santa Catalina;3827;Archipiélago de San Andrés, Providencia y Santa Catalina (ETC);1119;78.46%;78.46%;67.05%;74.89%;64.02%;57.54%;82.48%;79.55%;83.97%;75.4%;94.97%;1.41%;0%;1.01%;2.11%;1.76%;94.91%;0%;97.74%;90.53%;93.53%;3.68%;0%;1.26%;7.37%;4.71%;3.9%;0%;6.28%;3.51%;0.59%
2024;88001;San Andrés;88;Archipiélago de San Andrés, Providencia y Santa Catalina;3827;Archipiélago de San Andrés, Providencia y Santa Catalina (ETC);9607;95.88%;95.81%;79.25%;95.71%;85.05%;53.92%;101.56%;94.66%;106.74%;106.3%;81.53%;2.01%;0.82%;1.8%;2.28%;2.65%;87.38%;0%;91.39%;79.64%;88.42%;10.61%;0%;6.8%;18.08%;8.93%;9.05%;0.41%;7.66%;13.93%;5.07%
2024;86885;Villagarzón;86;Putumayo;3826;Putumayo (ETC);5837;95.99%;95.99%;57.97%;93.92%;84.33%;41.63%;103.27%;87.37%;111.34%;112.32%;73.16%;5.65%;5.78%;3.59%;9.31%;2.28%;88.33%;0%;92.24%;80.01%;95.27%;6.02%;0%;4.17%;10.68%;2.45%;9.14%;2.26%;7.99%;13.53%;4.03%
2024;86865;Valle del Guamuez;86;Putumayo;3826;Putumayo (ETC);7398;95.69%;95.67%;77.31%;96.78%;75.77%;45.84%;106.38%;115.5%;114.12%;106.29%;85.77%;7.33%;5.36%;5.92%;10.36%;5.58%;87.15%;0.35%;89.36%;81.46%;89.82%;5.52%;0.35%;4.72%;8.18%;4.6%;7.35%;2.25%;6.69%;10.73%;3.94%
2024;86760;Santiago;86;Putumayo;3826;Putumayo (ETC);1519;76.37%;76.37%;71.53%;76.62%;65.99%;35.68%;81.24%;96.35%;86.15%;84.11%;53.53%;5.35%;5.3%;3.04%;8.47%;5.43%;92.22%;0%;96.61%;84.99%;93.8%;2.43%;0%;0.36%;6.54%;0.78%;5.59%;2.27%;1.96%;10.17%;10.08%
2024;86757;San Miguel;86;Putumayo;3826;Putumayo (ETC);4626;87.66%;87.64%;53.95%;88.81%;69.62%;39.38%;98.14%;103.16%;110%;93.46%;75.39%;6.56%;6.99%;5.3%;8.22%;7.04%;88.89%;0.78%;90.81%;84.52%;90.06%;4.55%;0.78%;3.88%;7.26%;2.9%;7.11%;6.48%;7.62%;7.63%;3.93%
2024;86755;San Francisco;86;Putumayo;3826;Putumayo (ETC);1153;63.66%;63.66%;37.08%;67.86%;50.13%;36.36%;74.76%;50.56%;74.42%;76.08%;83.84%;2.92%;4.44%;1.42%;5.46%;1.69%;93.49%;0%;95.17%;92.02%;90.68%;3.59%;0%;3.41%;2.52%;7.63%;5.44%;2.22%;4.55%;8.82%;2.54%
2024;86749;Sibundoy;86;Putumayo;3826;Putumayo (ETC);2954;95.16%;95.16%;60.67%;85.53%;91.22%;76.12%;103.69%;78.66%;93.55%;109.18%;128.54%;2.52%;3.45%;1.38%;3.7%;2.17%;94.48%;0%;97.52%;90.2%;96.2%;3%;0%;1.1%;6.1%;1.63%;5.45%;2.3%;3.67%;9.61%;1.81%
2024;86573;Leguízamo;86;Putumayo;3826;Putumayo (ETC);8182;57.38%;57.38%;29.79%;54.16%;47.26%;22.46%;62.76%;51.06%;70.83%;65.84%;40.35%;8.81%;4.44%;7.82%;11.6%;7.26%;88.01%;0.28%;88.45%;85.07%;90.81%;3.18%;0.28%;3.73%;3.32%;1.92%;8.24%;3.33%;9.1%;8.86%;5.13%
2024;86571;Puerto Guzmán;86;Putumayo;3826;Putumayo (ETC);9592;47.56%;47.56%;25.43%;47.68%;35.34%;15.36%;52.51%;50.99%;62.81%;50.28%;30.13%;11.5%;9%;7.91%;17.01%;16.1%;82.83%;0%;86.68%;74.69%;80.73%;5.67%;0%;5.41%;8.31%;3.17%;11.27%;3.65%;11.56%;14.37%;5.61%
2024;86569;Puerto Caicedo;86;Putumayo;3826;Putumayo (ETC);3306;67.24%;67.24%;48.77%;73.5%;51.94%;27.99%;72.2%;74.39%;86.53%;68.21%;42.17%;4.79%;3.77%;3.23%;7.65%;5.31%;91.33%;0%;93.79%;84.7%;94.2%;3.88%;0%;2.98%;7.65%;0.48%;6.81%;2.83%;7.04%;8.23%;4.83%
2024;86568;Puerto Asís;86;Putumayo;3826;Putumayo (ETC);14975;88.5%;88.48%;55.9%;85.06%;72.47%;40.09%;106.76%;96.55%;106.94%;115.23%;94.36%;6.08%;5.13%;4.43%;8.87%;4.89%;84.72%;0.1%;88.4%;76.79%;87.4%;9.19%;0.1%;7.17%;14.34%;7.71%;10.01%;3.85%;9.66%;13.85%;3.51%
2024;86320;Orito;86;Putumayo;3826;Putumayo (ETC);8910;91.11%;91.05%;54.32%;86.85%;78.64%;42.87%;102.36%;97.21%;103.27%;111.18%;84.86%;6.64%;6.25%;5.07%;8.97%;5.89%;88.31%;0%;92.16%;81.96%;89.09%;5.05%;0%;2.76%;9.07%;5.02%;8.37%;1.64%;5.68%;13.75%;6.94%
2024;86219;Colón;86;Putumayo;3826;Putumayo (ETC);1004;73.61%;73.61%;32.97%;70.66%;71.21%;42.07%;78.49%;50.55%;82.16%;86.07%;69.51%;3.56%;6.52%;2.87%;4.32%;2.63%;90.85%;0%;93.98%;85.25%;93.86%;5.59%;0%;3.15%;10.43%;3.51%;4.95%;2.17%;3.43%;8.99%;0.88%
2024;86001;Mocoa;86;Putumayo;3826;Putumayo (ETC);11644;84.82%;84.76%;56.98%;83.76%;70.88%;44.81%;94.36%;86.05%;96.4%;100.46%;81.65%;5.3%;4.77%;3.75%;7.85%;3.93%;87.12%;0%;92.28%;78.44%;88.95%;7.57%;0%;3.97%;13.72%;7.12%;8.58%;2.32%;5.79%;14.53%;5.33%
2024;85440;Villanueva;85;Casanare;3825;Casanare (ETC);8112;95.82%;95.81%;74.74%;92.67%;85.63%;56.94%;102.42%;93.16%;104.57%;109.06%;88.15%;3.79%;4.66%;3.26%;4.66%;2.64%;91.53%;0.17%;94.69%;85.9%;94.18%;4.68%;0.17%;2.05%;9.44%;3.19%;7.06%;0.86%;6.09%;11.28%;2.2%
2024;85430;Trinidad;85;Casanare;3825;Casanare (ETC);3360;88.42%;88.42%;65.55%;82.53%;77.93%;47.3%;95.68%;81.94%;96.78%;104.62%;81.85%;4.73%;3.28%;4.1%;5.65%;5.48%;89.82%;0%;91.01%;87.45%;87.4%;5.45%;0%;4.88%;6.9%;7.12%;8.41%;0%;10.76%;9.67%;1.37%
2024;85410;Tauramena;85;Casanare;3825;Casanare (ETC);5726;92.63%;92.61%;64.07%;89.99%;83.68%;53.31%;99.97%;85.71%;102.14%;108.06%;85.1%;3.19%;3.8%;2.87%;3.67%;2.51%;90.21%;0%;93.24%;84.42%;94.24%;6.61%;0%;3.89%;11.9%;3.25%;8%;0.95%;7.22%;11.23%;4.57%
2024;85400;Támara;85;Casanare;3825;Casanare (ETC);1678;82.36%;82.36%;69.47%;86.12%;64.51%;36.23%;85.64%;90.08%;103.86%;80.07%;48.91%;5.46%;3.39%;3.03%;9.71%;6.5%;91.28%;0%;94.9%;84.65%;88.62%;3.26%;0%;2.07%;5.64%;4.88%;9.08%;1.69%;6.2%;15.58%;9.76%
2024;85325;San Luis de Palenque;85;Casanare;3825;Casanare (ETC);1921;79.7%;79.7%;61.31%;77.3%;63.1%;35.17%;85.27%;72.02%;93.43%;87.7%;64.14%;4.84%;4.13%;4.35%;6.64%;2.01%;85.15%;0%;88.87%;76.26%;86.58%;10.01%;0%;6.78%;17.1%;11.41%;13.23%;0%;14.07%;17.71%;4.7%
2024;85315;Sácama;85;Casanare;3825;Casanare (ETC);493;54.77%;54.77%;43.18%;58.54%;49.68%;27.59%;58.42%;59.09%;65.37%;57.96%;42.53%;6.25%;3.85%;4.48%;8.79%;8.11%;93.75%;0%;95.52%;91.21%;91.89%;0%;0%;0%;0%;0%;5.9%;0%;3.73%;10.99%;5.41%
2024;85300;Sabanalarga;85;Casanare;3825;Casanare (ETC);744;75%;75%;45.45%;65.02%;76.65%;45.74%;79.3%;58.18%;75.91%;93.39%;68.22%;4.24%;12.5%;3.04%;5.83%;0%;90.51%;0%;95.22%;86.25%;90.91%;5.25%;0%;1.74%;7.92%;9.09%;8.81%;0%;3.48%;17.92%;1.14%
2024;85279;Recetor;85;Casanare;3825;Casanare (ETC);260;58.46%;58.46%;61.9%;64.55%;45.88%;29.55%;61.54%;76.19%;70.91%;52.94%;47.73%;5%;6.25%;2.56%;8.89%;4.76%;89.38%;0%;94.87%;75.56%;95.24%;5.63%;0%;2.56%;15.56%;0%;5.63%;0%;3.85%;13.33%;0%
2024;85263;Pore;85;Casanare;3825;Casanare (ETC);2913;78.92%;78.92%;59.11%;77.96%;66.67%;53.28%;85.2%;76.92%;88.62%;83.02%;84.93%;4.63%;3.68%;3.8%;6.03%;4.7%;87.57%;0%;92.41%;80.73%;82.6%;7.81%;0%;3.8%;13.24%;12.71%;6.82%;0.53%;7.96%;7.73%;4.7%
2024;85250;Paz de Ariporo;85;Casanare;3825;Casanare (ETC);9028;91.22%;91.22%;65.7%;88.88%;78.99%;48.28%;100.28%;83.29%;105.16%;107.06%;81.92%;3.24%;3.17%;3.78%;3.05%;1.65%;90%;0%;90.86%;86.9%;91.13%;6.76%;0%;5.36%;10.05%;7.22%;6.02%;1.74%;5.56%;8.65%;2.99%
2024;85230;Orocué;85;Casanare;3825;Casanare (ETC);3488;70.13%;70.13%;42.66%;63.06%;68.16%;35.06%;76.15%;62.46%;74.82%;88.27%;61.22%;5.48%;3.28%;2.23%;8.97%;7.47%;86.77%;0%;93.3%;77.88%;85.39%;7.75%;0%;4.46%;13.15%;7.14%;8.06%;2.73%;6.7%;11.52%;5.19%
2024;85225;Nunchía;85;Casanare;3825;Casanare (ETC);1968;76.68%;76.68%;54.24%;75.12%;67.46%;46.77%;83.23%;76.27%;85.61%;86.1%;74.84%;2.59%;4.44%;1.38%;4.21%;1.53%;91.96%;0%;95.32%;86.04%;92.86%;5.44%;0%;3.31%;9.75%;5.61%;5.44%;1.48%;5.1%;8.8%;0.51%
2024;85162;Monterrey;85;Casanare;3825;Casanare (ETC);3776;84.14%;84.08%;61.64%;78.33%;78.31%;52.12%;92.37%;80.82%;88.26%;101.04%;91.5%;3.07%;4.18%;2.34%;3.77%;2.74%;85.66%;0%;95.92%;73.53%;82.19%;11.27%;0%;1.74%;22.7%;15.07%;6.48%;0%;4.08%;11.47%;3.65%
2024;85139;Maní;85;Casanare;3825;Casanare (ETC);3736;89.19%;89.19%;66.77%;91.54%;73.48%;34.7%;95.74%;84%;106.72%;101.72%;59.66%;6.9%;8.49%;6.37%;8.61%;2.22%;87.94%;0.39%;88.97%;83.83%;94.6%;5.17%;0.39%;4.66%;7.56%;3.17%;8.51%;3.86%;8.97%;10.54%;2.54%
2024;85136;La Salina;85;Casanare;3825;Casanare (ETC);374;55.61%;55.61%;60%;56.12%;44.12%;33.78%;59.63%;76%;61.15%;59.56%;51.35%;3.14%;0%;2.35%;6.17%;0%;89.69%;0%;90.59%;85.19%;92.11%;7.17%;0%;7.06%;8.64%;7.89%;3.59%;0%;4.71%;4.94%;0%
2024;85125;Hato Corozal;85;Casanare;3825;Casanare (ETC);3484;87.46%;87.43%;60.62%;84.94%;70.28%;34.74%;99.4%;87.33%;109.55%;104.74%;66.73%;4.49%;4.31%;3.87%;5.57%;3.81%;89.97%;0%;91.47%;85.73%;93.26%;5.54%;0%;4.67%;8.7%;2.93%;14.4%;2.35%;12.83%;20.68%;9.09%
2024;85015;Chameza;85;Casanare;3825;Casanare (ETC);521;69.29%;69.29%;54.76%;69.68%;70.86%;50.6%;72.17%;71.43%;71.49%;80%;57.83%;3.19%;3.33%;2.53%;5%;0%;92.82%;0%;96.84%;87.86%;91.67%;3.99%;0%;0.63%;7.14%;8.33%;2.66%;0%;1.9%;4.29%;2.08%
2024;85010;Aguazul;85;Casanare;3825;Casanare (ETC);8111;89.85%;89.82%;64.46%;86.56%;81.45%;53.08%;97.51%;88.7%;97.41%;105.73%;85.6%;3.62%;3.62%;3.18%;4.42%;2.96%;89.96%;0.8%;93.04%;84.51%;91.24%;6.42%;0.8%;3.78%;11.06%;5.81%;7.16%;2.21%;5.67%;11.63%;2.95%
2024;85001;Yopal;85;Casanare;4841;Yopal;36954;97.82%;97.77%;78.01%;97.01%;86.27%;55.95%;106.78%;91.22%;108.97%;114.54%;93.62%;3.28%;3.67%;3.06%;3.94%;1.99%;89.32%;0%;92.41%;82.53%;93.37%;7.4%;0%;4.53%;13.53%;4.64%;7.73%;2%;6.87%;11.74%;2.77%
2024;81794;Tame;81;Arauca;3824;Arauca (ETC);12242;109.89%;109.78%;84.7%;109.81%;87.61%;47.06%;121.01%;118.09%;133.45%;121.67%;87.32%;4.25%;3.23%;3.65%;5.11%;5.28%;86.83%;0.45%;87.73%;82.17%;89.37%;8.92%;0.45%;8.63%;12.71%;5.35%;8.75%;2.96%;8.99%;11.54%;3.49%
2024;81736;Saravena;81;Arauca;3824;Arauca (ETC);13901;86.65%;86.65%;63.11%;85.58%;68.65%;44.47%;99.66%;92.45%;103.44%;93.96%;105.19%;4.43%;4.73%;3.81%;6.03%;2.29%;88.34%;0.2%;90.52%;81.39%;93.46%;7.22%;0.2%;5.66%;12.58%;4.25%;8.15%;3.25%;7.97%;11.36%;3.35%
2024;81591;Puerto Rondón;81;Arauca;3824;Arauca (ETC);1056;71.69%;71.69%;60.23%;67.48%;55.04%;30.18%;79.26%;98.86%;88.94%;72.33%;57.4%;5.6%;5.75%;6.47%;4.31%;4.82%;90.8%;0%;91.29%;87.07%;95.18%;3.61%;0%;2.24%;8.62%;0%;5.97%;5.75%;7.21%;5.6%;1.2%
2024;81300;Fortul;81;Arauca;3824;Arauca (ETC);5650;82.3%;82.3%;60.46%;79.53%;59.57%;40.39%;90.41%;90.27%;105.85%;81.4%;66.89%;4.74%;6.05%;4.53%;5.35%;3.01%;84.79%;0.48%;81.04%;86.16%;92.09%;10.47%;0.48%;14.43%;8.48%;4.9%;10.9%;4.6%;13.39%;10.36%;5.46%
